start_station_name,rides_all,rides_january,rides_jan14_16,first_ride,last_ride,first_lat,first_lng,pct_january,pct_jan1416
Lake Park Ave & 35th St,3724,69,1,2023-02-01,2024-01-31,41.830796242,-87.609025717,22.234156820622985,0.322234156820623
Lake Park Ave & 47th St,2021,16,0,2023-02-01,2024-01-27,41.809057474,-87.59206666666667,9.5002474022761,0.0
Lake Park Ave & 53rd St,6831,212,0,2023-02-01,2024-01-31,41.798202991,-87.58703633333333,37.241985068072026,0.0
Lake Park Ave & 56th St,9004,391,7,2023-02-01,2024-01-31,41.78516333333334,-87.6039605,52.11017325633052,0.9329187027987561
Lakefront Trail & Bryn Mawr Ave,12156,79,4,2023-02-01,2024-01-31,41.88796583333333,-87.669974446,7.7986179664363275,0.39486673247778875
Lakefront Trail & Wilson Ave,8538,60,0,2023-02-01,2024-01-31,41.88164746666666,-87.64969933333333,8.432888264230499,0.0
Lakeview Ave & Fullerton Pkwy,19963,304,9,2023-02-01,2024-01-31,41.87978123333333,-87.68610881666666,18.27380654210289,0.5410008515754146
Larrabee St & Armitage Ave,8735,217,3,2023-02-01,2024-01-31,41.904341216666666,-87.65606545,29.811104751001718,0.41213508872352606
Larrabee St & Division St,11314,253,11,2023-02-01,2024-01-31,41.88178991666667,-87.6639273,26.834010959872725,1.1666961286901185
Larrabee St & Kingsbury St,21790,1008,21,2023-02-01,2024-01-31,41.81354966666667,-87.69310733333333,55.511702615878846,1.156493804497476
Larrabee St & Menomonee St,6035,190,1,2023-02-01,2024-01-31,41.883601657275165,-87.65218332409859,37.77961888980944,0.1988400994200497
Larrabee St & North Ave,7799,166,2,2023-02-01,2024-01-31,41.765909666666666,-87.64862671494483,25.541736120015386,0.3077317604821131
Larrabee St & Oak St,8914,353,8,2023-02-01,2024-01-31,41.795286894,-87.6639273,47.520753870316355,1.076957594794705
Larrabee St & Webster Ave,20628,366,11,2023-02-01,2024-01-31,41.87799155,-87.65374916666667,21.291448516579408,0.6399069226294357
Leavitt St & Addison St,3165,54,1,2023-02-01,2024-01-31,41.883601657275165,-87.683529,20.473933649289098,0.3791469194312796
Leavitt St & Archer Ave,1274,30,0,2023-02-01,2024-01-31,41.828660727,-87.68080008,28.2574568288854,0.0
Leavitt St & Armitage Ave,6256,145,0,2023-02-01,2024-01-31,41.885064363,-87.683215022,27.813299232736572,0.0
Leavitt St & Belmont Ave,4521,86,0,2023-02-01,2024-01-31,41.939106345,-87.70630538333333,22.82680822826808,0.0
Leavitt St & Chicago Ave,5787,167,9,2023-02-01,2024-01-31,41.883601657275165,-87.682617784,34.62934162778642,1.8662519440124417
Leavitt St & Division St,5378,134,3,2023-02-01,2024-01-31,41.883601657275165,-87.684502959,29.899590925994794,0.6693938267013759
Leavitt St & Lawrence Ave,3121,81,0,2023-02-01,2024-01-31,41.88164746666666,-87.684306026,31.143864146107017,0.0
Leavitt St & North Ave,7586,116,2,2023-02-01,2024-01-31,41.883601657275165,-87.687886953,18.34959135249143,0.3163722646981281
Lincoln Ave & Addison St,3984,86,4,2023-02-01,2024-01-31,41.883601657275165,-87.68471645,25.903614457831324,1.2048192771084338
Lincoln Ave & Belle Plaine Ave,5410,135,5,2023-02-01,2024-01-31,41.883601657275165,-87.6978458,29.944547134935306,1.1090573012939002
Lincoln Ave & Belmont Ave (Temp),3545,0,0,2023-02-01,2023-07-10,41.883601657275165,-87.67193675,0.0,0.0
Lincoln Ave & Byron St,3537,83,0,2023-04-12,2024-01-31,41.88547575,-87.68,28.159457167090753,0.0
Lincoln Ave & Diversey Pkwy,13940,285,2,2023-02-01,2024-01-31,41.883601657275165,-87.75756263333334,24.53371592539455,0.17216642754662842
Lincoln Ave & Fullerton Ave,22091,459,17,2023-02-01,2024-01-31,41.87947583333333,-87.680721164,24.933230727445565,0.9234529899053914
Lincoln Ave & Melrose St,5431,235,5,2023-07-10,2024-01-31,41.9115182,-87.67318355,51.924139200883815,1.1047689191677408
Lincoln Ave & Roscoe St*,6712,238,5,2023-02-01,2024-01-31,41.92629348333333,-87.67125833333333,42.55065554231228,0.8939213349225268
Lincoln Ave & Sunnyside Ave,6128,132,1,2023-02-01,2024-01-31,41.87799155,-87.74485883333334,25.848563968668408,0.195822454308094
Lincoln Ave & Waveland Ave,4581,123,1,2023-02-01,2024-01-31,41.883601657275165,-87.68010996666666,32.220039292730846,0.26195153896529144
Lincoln Ave & Winona St,2409,55,0,2023-02-01,2024-01-31,41.94155633333333,-87.70090333333333,27.397260273972602,0.0
Lincoln Park Conservatory,12736,161,0,2023-02-01,2024-01-31,41.89029776666667,-87.68006586666667,15.169597989949748,0.0
Logan Blvd & Elston Ave,6177,180,2,2023-02-01,2024-01-31,41.82328903333333,-87.687553048,34.968431277319084,0.3885381253035454
Loomis St & Archer Ave,1324,37,0,2023-02-07,2024-01-31,41.841440678,-87.6579144,33.53474320241692,0.0
Loomis St & Jackson Blvd,6327,216,7,2023-02-01,2024-01-31,41.877405643,-87.75756263333334,40.96728307254623,1.3276434329065907
Loomis St & Lexington St,21379,615,13,2023-02-01,2024-01-31,41.848570933333335,-87.74485883333334,34.519855933392584,0.7296880116001684
MLK Jr Dr & 29th St,15780,435,11,2023-02-01,2024-01-31,41.83479225,-87.65009975,33.07984790874525,0.8365019011406845
MLK Jr Dr & Pershing Rd,1552,39,0,2023-02-01,2024-01-31,41.824378133,-87.631836653,30.15463917525773,0.0
MTV Hubbard St,1651,62,0,2023-02-01,2024-01-31,41.889609814,-87.680562019,45.06359781950333,0.0
Malcolm X College,2091,57,0,2023-02-02,2024-01-31,41.877320833333336,-87.70212518333334,32.7116212338594,0.0
Manor Ave & Leland Ave,2044,39,0,2023-02-01,2024-01-31,41.96097361666666,-87.701170444,22.89628180039139,0.0
