start_lat,start_lng,rides_all,rides_january,rides_jan14_16,first_ride,last_ride
41.72,-87.67,83,1,0,2023-02-02,2024-01-01
41.72,-87.66,174,4,0,2023-02-01,2024-01-31
41.72,-87.65,48,0,0,2023-02-04,2023-11-25
41.72,-87.64,45,2,0,2023-02-11,2024-01-10
41.72,-87.63,65,1,0,2023-02-04,2024-01-22
41.72,-87.62,283,5,0,2023-02-06,2024-01-27
41.72,-87.61,115,0,0,2023-02-01,2023-11-22
41.72,-87.6,41,0,0,2023-02-07,2023-12-03
41.72,-87.59,25,0,0,2023-04-10,2023-09-20
41.72,-87.58,43,0,0,2023-04-09,2023-11-05
41.72,-87.57,12,0,0,2023-05-17,2023-12-08
41.72,-87.56,4,0,0,2023-03-09,2023-08-26
41.72,-87.55,23,0,0,2023-05-28,2023-12-23
41.72,-87.54,25,0,0,2023-04-12,2023-10-19
41.72,-87.53,9,0,0,2023-04-30,2023-11-18
41.73,-87.74,23,0,0,2023-06-05,2023-08-04
41.73,-87.73,1,0,0,2023-08-11,2023-08-11
41.73,-87.72,1,1,0,2024-01-02,2024-01-02
41.73,-87.7,2,0,0,2023-08-04,2023-08-19
41.73,-87.69,1,0,0,2023-10-06,2023-10-06
41.73,-87.68,35,0,0,2023-02-28,2023-12-07
41.73,-87.67,42,0,0,2023-02-17,2023-12-14
41.73,-87.66,40,0,0,2023-02-17,2023-12-27
41.73,-87.65,15,0,0,2023-02-11,2023-09-14
41.73,-87.64,38,0,0,2023-04-21,2023-12-15
41.73,-87.63,27,3,0,2023-03-15,2024-01-02
41.73,-87.62,16,0,0,2023-02-24,2023-09-20
41.73,-87.61,18,0,0,2023-02-20,2023-12-24
41.73,-87.6,22,0,0,2023-02-20,2023-12-21
41.73,-87.59,26,0,0,2023-02-12,2023-09-30
41.73,-87.58,26,0,0,2023-03-23,2023-10-24
41.73,-87.57,21,0,0,2023-03-05,2023-10-09
41.73,-87.56,16,1,0,2023-02-05,2024-01-03
41.73,-87.55,104,0,0,2023-02-15,2023-12-27
41.73,-87.54,7,0,0,2023-07-11,2023-11-18
41.74,-87.74,21,0,0,2023-06-04,2023-12-06
41.74,-87.73,7,0,0,2023-06-05,2023-10-05
41.74,-87.72,20,3,0,2023-06-05,2024-01-08
41.74,-87.71,8,2,0,2023-05-10,2024-01-05
41.74,-87.7,17,3,0,2023-05-16,2024-01-05
41.74,-87.69,12,0,0,2023-05-22,2023-11-04
41.74,-87.68,70,0,0,2023-02-03,2023-11-13
41.74,-87.67,16,0,0,2023-05-11,2023-12-13
41.74,-87.66,43,0,0,2023-02-09,2023-12-17
41.74,-87.65,32,0,0,2023-04-20,2023-11-16
41.74,-87.64,29,0,0,2023-04-28,2023-12-15
41.74,-87.63,76,3,0,2023-02-12,2024-01-30
41.74,-87.62,40,1,0,2023-02-19,2024-01-24
41.74,-87.61,51,0,0,2023-02-07,2023-12-05
41.74,-87.6,65,1,0,2023-02-05,2024-01-09
41.74,-87.59,32,0,0,2023-02-07,2023-11-20
41.74,-87.58,34,0,0,2023-02-12,2023-11-23
41.74,-87.57,32,2,1,2023-02-02,2024-01-30
41.74,-87.56,70,1,0,2023-02-08,2024-01-03
41.74,-87.55,282,4,0,2023-02-19,2024-01-29
41.74,-87.54,36,0,0,2023-04-19,2023-12-09
41.74,-87.53,94,1,0,2023-02-12,2024-01-10
41.75,-87.75,1,0,0,2023-11-07,2023-11-07
41.75,-87.74,39,0,0,2023-06-10,2023-12-25
41.75,-87.73,22,0,0,2023-05-28,2023-10-25
41.75,-87.72,43,0,0,2023-05-17,2023-11-24
41.75,-87.71,28,0,0,2023-06-08,2023-12-04
41.75,-87.7,10,0,0,2023-05-16,2023-10-21
41.75,-87.69,10,0,0,2023-07-23,2023-12-19
41.75,-87.68,27,0,0,2023-02-12,2023-11-04
41.75,-87.67,78,2,0,2023-02-05,2024-01-28
41.75,-87.66,63,1,0,2023-02-05,2024-01-08
41.75,-87.65,39,0,0,2023-03-07,2023-10-28
41.75,-87.64,35,0,0,2023-02-14,2023-11-24
41.75,-87.63,58,7,0,2023-02-19,2024-01-31
41.75,-87.62,20,1,0,2023-04-10,2024-01-04
41.75,-87.61,56,2,0,2023-02-23,2024-01-12
41.75,-87.6,64,0,0,2023-02-05,2023-12-28
41.75,-87.59,33,0,0,2023-02-19,2023-10-05
41.75,-87.58,67,1,0,2023-02-12,2024-01-02
41.75,-87.57,48,1,0,2023-02-07,2024-01-10
41.75,-87.56,105,1,0,2023-02-12,2024-01-04
41.75,-87.55,85,5,0,2023-02-11,2024-01-29
41.75,-87.54,1,0,0,2023-02-11,2023-02-11
41.75,-87.53,1,0,0,2023-06-03,2023-06-03
41.76,-87.79,1,0,0,2023-08-04,2023-08-04
41.76,-87.75,2,0,0,2023-07-05,2023-12-27
41.76,-87.74,45,0,0,2023-05-12,2023-12-08
41.76,-87.73,8,0,0,2023-06-22,2023-11-26
41.76,-87.72,12,0,0,2023-05-03,2023-12-31
41.76,-87.71,42,1,0,2023-06-12,2024-01-04
41.76,-87.7,33,0,0,2023-05-13,2023-10-02
41.76,-87.69,16,0,0,2023-06-09,2023-10-09
41.76,-87.68,39,0,0,2023-02-20,2023-11-12
41.76,-87.67,18,0,0,2023-02-16,2023-12-18
41.76,-87.66,38,0,0,2023-02-09,2023-12-27
41.76,-87.65,48,1,0,2023-02-13,2024-01-13
41.76,-87.64,50,2,0,2023-02-12,2024-01-05
41.76,-87.63,32,0,0,2023-02-14,2023-12-14
41.76,-87.62,31,0,0,2023-02-05,2023-12-01
41.76,-87.61,52,1,0,2023-02-12,2024-01-18
41.76,-87.6,24,0,0,2023-02-18,2023-12-30
41.76,-87.59,127,0,0,2023-03-15,2023-12-15
41.76,-87.58,184,2,0,2023-02-08,2024-01-29
41.76,-87.57,174,0,0,2023-02-04,2023-12-15
41.76,-87.56,234,5,0,2023-02-01,2024-01-31
41.76,-87.55,31,0,0,2023-02-26,2023-12-28
41.77,-87.8,6,0,0,2023-05-23,2023-09-01
41.77,-87.79,8,0,0,2023-06-08,2023-10-22
41.77,-87.78,7,0,0,2023-05-19,2023-11-15
41.77,-87.77,2,0,0,2023-09-30,2023-10-07
41.77,-87.76,5,0,0,2023-06-21,2023-09-25
41.77,-87.75,18,0,0,2023-05-20,2023-10-01
